"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXINCOME","TOT","PC_GDP","A","1965",7.101,
"AUS","TAXINCOME","TOT","PC_GDP","A","1966",7.078,
"AUS","TAXINCOME","TOT","PC_GDP","A","1967",7.457,
"AUS","TAXINCOME","TOT","PC_GDP","A","1968",7.268,
"AUS","TAXINCOME","TOT","PC_GDP","A","1969",7.747,
"AUS","TAXINCOME","TOT","PC_GDP","A","1970",7.876,
"AUS","TAXINCOME","TOT","PC_GDP","A","1971",8.464,
"AUS","TAXINCOME","TOT","PC_GDP","A","1972",8.21,
"AUS","TAXINCOME","TOT","PC_GDP","A","1973",9.1,
"AUS","TAXINCOME","TOT","PC_GDP","A","1974",10.834,
"AUS","TAXINCOME","TOT","PC_GDP","A","1975",11.069,
"AUS","TAXINCOME","TOT","PC_GDP","A","1976",11.499,
"AUS","TAXINCOME","TOT","PC_GDP","A","1977",11.55,
"AUS","TAXINCOME","TOT","PC_GDP","A","1978",10.786,
"AUS","TAXINCOME","TOT","PC_GDP","A","1979",11.183,
"AUS","TAXINCOME","TOT","PC_GDP","A","1980",11.523,
"AUS","TAXINCOME","TOT","PC_GDP","A","1981",12.075,
"AUS","TAXINCOME","TOT","PC_GDP","A","1982",12.129,
"AUS","TAXINCOME","TOT","PC_GDP","A","1983",11.562,
"AUS","TAXINCOME","TOT","PC_GDP","A","1984",12.451,
"AUS","TAXINCOME","TOT","PC_GDP","A","1985",12.555,
"AUS","TAXINCOME","TOT","PC_GDP","A","1986",13.3,
"AUS","TAXINCOME","TOT","PC_GDP","A","1987",12.909,
"AUS","TAXINCOME","TOT","PC_GDP","A","1988",12.905,
"AUS","TAXINCOME","TOT","PC_GDP","A","1989",12.351,
"AUS","TAXINCOME","TOT","PC_GDP","A","1990",12.078,
"AUS","TAXINCOME","TOT","PC_GDP","A","1991",11.085,
"AUS","TAXINCOME","TOT","PC_GDP","A","1992",10.719,
"AUS","TAXINCOME","TOT","PC_GDP","A","1993",11.01,
"AUS","TAXINCOME","TOT","PC_GDP","A","1994",11.047,
"AUS","TAXINCOME","TOT","PC_GDP","A","1995",11.486,
"AUS","TAXINCOME","TOT","PC_GDP","A","1996",11.936,
"AUS","TAXINCOME","TOT","PC_GDP","A","1997",12.036,
"AUS","TAXINCOME","TOT","PC_GDP","A","1998",13.07,
"AUS","TAXINCOME","TOT","PC_GDP","A","1999",13.234,
"AUS","TAXINCOME","TOT","PC_GDP","A","2000",11.487,
"AUS","TAXINCOME","TOT","PC_GDP","A","2001",11.914,
"AUS","TAXINCOME","TOT","PC_GDP","A","2002",11.782,
"AUS","TAXINCOME","TOT","PC_GDP","A","2003",11.907,
"AUS","TAXINCOME","TOT","PC_GDP","A","2004",12.149,
"AUS","TAXINCOME","TOT","PC_GDP","A","2005",11.866,
"AUS","TAXINCOME","TOT","PC_GDP","A","2006",10.958,
"AUS","TAXINCOME","TOT","PC_GDP","A","2007",10.837,
"AUS","TAXINCOME","TOT","PC_GDP","A","2008",10.102,
"AUS","TAXINCOME","TOT","PC_GDP","A","2009",9.579,
"AUS","TAXINCOME","TOT","PC_GDP","A","2010",9.753,
"AUS","TAXINCOME","TOT","PC_GDP","A","2011",10.196,
"AUS","TAXINCOME","TOT","PC_GDP","A","2012",10.571,
"AUS","TAXINCOME","TOT","PC_GDP","A","2013",10.633,
"AUS","TAXINCOME","TOT","PC_GDP","A","2014",11.264,
"AUS","TAXINCOME","TOT","PC_GDP","A","2015",11.544,
"AUS","TAXINCOME","TOT","PC_GDP","A","2016",11.262,
"AUS","TAXINCOME","TOT","PC_GDP","A","2017",11.493,
"AUS","TAXINCOME","TOT","PC_GDP","A","2018",11.75,
"AUS","TAXINCOME","TOT","PC_GDP","A","2019",11.629,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1965",34.415,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1966",35.647,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1967",36.493,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1968",35.685,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1969",37.413,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1970",37.327,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1971",38.735,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1972",38.347,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1973",40.45,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1974",43.974,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1975",43.622,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1976",44.996,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1977",45.435,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1978",43.973,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1979",44.467,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1980",43.964,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1981",45.768,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1982",45.162,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1983",44.284,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1984",44.938,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1985",45.229,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1986",46.609,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1987",45.068,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1988",45.607,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1989",44.089,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1990",42.972,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1991",41.57,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1992",41.017,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1993",41.386,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1994",40.161,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1995",40.61,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1996",41.266,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1997",41.987,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1998",44.407,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","1999",44.337,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2000",37.714,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2001",41.187,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2002",39.536,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2003",39.793,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2004",40.205,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2005",39.674,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2006",37.362,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2007",36.793,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2008",37.762,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2009",37.63,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2010",38.729,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2011",39.522,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2012",39.412,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2013",39.418,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2014",41.486,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2015",41.612,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2016",41.006,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2017",40.392,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2018",41.179,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2019",42.023,
"AUT","TAXINCOME","TOT","PC_GDP","A","1965",6.693,
"AUT","TAXINCOME","TOT","PC_GDP","A","1966",7.091,
"AUT","TAXINCOME","TOT","PC_GDP","A","1967",7.195,
"AUT","TAXINCOME","TOT","PC_GDP","A","1968",6.647,
"AUT","TAXINCOME","TOT","PC_GDP","A","1969",6.885,
"AUT","TAXINCOME","TOT","PC_GDP","A","1970",6.938,
"AUT","TAXINCOME","TOT","PC_GDP","A","1971",7.212,
"AUT","TAXINCOME","TOT","PC_GDP","A","1972",7.702,
"AUT","TAXINCOME","TOT","PC_GDP","A","1973",7.898,
"AUT","TAXINCOME","TOT","PC_GDP","A","1974",8.447,
"AUT","TAXINCOME","TOT","PC_GDP","A","1975",7.863,
"AUT","TAXINCOME","TOT","PC_GDP","A","1976",7.852,
"AUT","TAXINCOME","TOT","PC_GDP","A","1977",8.062,
"AUT","TAXINCOME","TOT","PC_GDP","A","1978",9.105,
"AUT","TAXINCOME","TOT","PC_GDP","A","1979",8.775,
"AUT","TAXINCOME","TOT","PC_GDP","A","1980",8.942,
"AUT","TAXINCOME","TOT","PC_GDP","A","1981",9.383,
"AUT","TAXINCOME","TOT","PC_GDP","A","1982",9.037,
"AUT","TAXINCOME","TOT","PC_GDP","A","1983",8.702,
"AUT","TAXINCOME","TOT","PC_GDP","A","1984",8.942,
"AUT","TAXINCOME","TOT","PC_GDP","A","1985",9.27,
"AUT","TAXINCOME","TOT","PC_GDP","A","1986",9.43,
"AUT","TAXINCOME","TOT","PC_GDP","A","1987",9.07,
"AUT","TAXINCOME","TOT","PC_GDP","A","1988",8.951,
"AUT","TAXINCOME","TOT","PC_GDP","A","1989",7.694,
"AUT","TAXINCOME","TOT","PC_GDP","A","1990",8.234,
"AUT","TAXINCOME","TOT","PC_GDP","A","1991",8.635,
"AUT","TAXINCOME","TOT","PC_GDP","A","1992",8.876,
"AUT","TAXINCOME","TOT","PC_GDP","A","1993",9.011,
